name,id,classification,mass,year,latitude,longitude
Paranaiba,18103,L6,100000.0,1956.0,-19.13333,-51.66667
Park Forest,18106,L5,18000.0,2003.0,41.48472,-87.67917
Parnallee,18108,LL3.6,77600.0,1857.0,9.23333,78.35
Patwar,18171,Mesosiderite-A1,37350.0,1935.0,23.15,91.18333
Pavlograd,18176,L6,40000.0,1826.0,48.53333,35.98333
Peace River,18180,L6,45760.0,1963.0,56.13333,-117.93333
Peekskill,18782,H6,12570.0,1992.0,41.28333,-73.91667
Peña Blanca Spring,18786,Aubrite,70000.0,1946.0,30.125,-103.11667
Perpeti,18793,L6,23474.0,1935.0,23.325,91.0
Pervomaisky,18798,L6,66000.0,1933.0,56.63333,39.43333
Phillips County (stone),18808,L6,57900.0,1901.0,40.0,-99.25
Phuoc-Binh,18812,L5,11000.0,1941.0,15.71667,108.1
Pillistfer,18822,EL6,23250.0,1863.0,58.66667,25.73333
Piplia Kalan,18831,Eucrite-mmict,42000.0,1996.0,26.03472,73.94167
Portales Valley,18874,H6,71400.0,1998.0,34.175,-103.295
Pultusk,18901,H5,250000.0,1868.0,52.76667,21.26667
Putinga,18905,L6,300000.0,1937.0,-29.03333,-53.05
Quesa,22360,"Iron, IAB-ung",10750.0,1898.0,39.0,-0.66667
Quija,22361,H,17450.0,1990.0,44.61667,126.13333
Raghunathpura,22371,"Iron, IIAB",10200.0,1986.0,27.72528,76.465
Rahimyar Khan,31302,L5,67225.0,1983.0,28.225,70.2
Rasgrad,22396,Stone-uncl,24700.0,1740.0,43.5,26.53333
Reliegos,22584,L5,17300.0,1947.0,42.475,-5.33333
Rembang,22585,"Iron, IVA",10000.0,1919.0,-6.73333,111.36667
Richardton,22599,H5,90000.0,1918.0,46.88333,-102.31667
Rose City,22766,H5,10600.0,1921.0,44.51667,-83.95
Ryechki,22791,L5,13000.0,1914.0,51.13333,34.5
Saint-Sauveur,23101,EH5,14000.0,1914.0,43.73333,1.38333
Saint-Séverin,23102,LL6,271000.0,1966.0,45.3,0.23333
Saratov,23176,L4,200000.0,1918.0,52.55,46.55
Seoni,23500,H6,20000.0,1966.0,21.68389,79.50083
Sevrukovo,23509,L5,101000.0,1874.0,50.61667,36.6
Shelburne,23529,L5,18600.0,1904.0,44.05,-80.16667
Sikhote-Alin,23593,"Iron, IIAB",23000000.0,1947.0,46.16,134.65333
Sivas,23617,H6,40000.0,1989.0,39.82467,36.13583
Soko-Banja,23661,LL4,80000.0,1877.0,43.66667,21.86667
Sone,23667,H5,17100.0,1866.0,35.16667,135.33333
Songyuan,23668,L6,36900.0,1993.0,45.25,125.0
St. Mark's,23090,EH5,13780.0,1903.0,-32.01667,27.41667
St. Michel,23093,L6,17000.0,1910.0,61.65,27.2
Ställdalen,23712,H5,34000.0,1876.0,59.93333,14.95
Stannern,23713,Eucrite-mmict,52000.0,1808.0,49.28333,15.56667
Sterlitamak,23724,"Iron, IIIAB",325000.0,1990.0,53.66667,55.98333
Strathmore,23729,L6,13400.0,1917.0,56.58333,-3.25
Stretchleigh,23732,Stone-uncl,10400.0,1623.0,50.38333,-3.95
St-Robert,23733,H5,25400.0,1994.0,45.96861,-72.97806
Suizhou,23738,L6,260000.0,1986.0,31.61667,113.46667
Sulagiri,48951,LL6,110000.0,2008.0,12.66667,78.03333
Tagish Lake,23782,C2-ung,10000.0,2000.0,59.70444,-134.20139
Tambakwatu,23795,L6,10500.0,1975.0,-7.75,112.76667
Tamdakht,48691,H5,100000.0,2008.0,31.16333,-7.015
Tatahouine,23884,Diogenite,12000.0,1931.0,32.95,10.41667
Tauti,23888,L6,21000.0,1937.0,46.71667,23.5
Tenham,23897,L6,160000.0,1879.0,-25.73333,142.95
Tennasilm,23898,L4,28500.0,1872.0,58.03333,26.95
Thika,54493,L6,14200.0,2011.0,-1.00278,37.15028
Thuathe,23976,H4/5,45300.0,2002.0,-29.33333,27.58333
Tieschitz,23989,H/L3.6,28000.0,1878.0,49.6,17.11667
Tilden,23998,L6,74800.0,1927.0,38.2,-89.68333
Timochin,24004,H5,65500.0,1807.0,54.5,35.2
Tjabe,24011,H6,20000.0,1869.0,-7.08333,111.53333
Tjerebon,24012,L5,16500.0,1922.0,-6.66667,106.58333
Tourinnes-la-Grosse,24038,L6,14500.0,1863.0,50.78333,4.76667
Trenzano,24046,H3/4,11800.0,1856.0,45.46667,10.0
Treysa,24050,"Iron, IIIAB-an",63000.0,1916.0,50.91667,9.18333
Tuan Tuc,24060,L6,13100.0,1921.0,9.66667,105.66667
Tugalin-Bulen,24062,H6,10000.0,1967.0,45.46667,105.38333
Tuxtuac,24086,LL5,30000.0,1975.0,21.66667,-103.36667
Tysnes Island,24094,H4,19860.0,1884.0,60.0,5.61667
Uberaba,24096,H5,40000.0,1903.0,-19.81667,-48.78333
Udei Station,24101,"Iron, IAB-ung",103000.0,1927.0,7.95,8.08333
Uzcudun,24140,L,20000.0,1948.0,-44.11667,-66.15
Valera,24149,L5,50000.0,1972.0,9.31667,-70.62833
Vengerovo,24158,H5,10800.0,1950.0,56.13333,77.26667
Veramin,24162,Mesosiderite-B2,54000.0,1880.0,35.33333,51.63333
Vigarano,24174,CV3,15000.0,1910.0,44.85,11.4
Vouillé,24191,L6,20000.0,1831.0,46.63333,0.16667
Walters,24210,L6,28100.0,1946.0,34.33333,-98.3
Weston,24249,H4,150000.0,1807.0,41.266667,-73.266667
Wiluna,24281,H5,150000.0,1967.0,-26.59278,120.32833
Wold Cottage,24325,L6,25000.0,1795.0,54.13667,-0.41333
Woolgorong,24334,L6,36000.0,1960.0,-27.75,115.83333
Wuan,24340,H6,50000.0,1986.0,36.75,114.25
Xingyang,24346,H6,75500.0,1977.0,32.33333,114.31667
Yangchiang,30348,H5,20000.0,1954.0,21.83333,111.83333
Yardymly,30352,"Iron, IAB complex",150200.0,1959.0,38.93333,48.25
Yatoor,30358,H5,13600.0,1852.0,14.3,79.76667
Yonozu,30366,H4/5,31650.0,1837.0,37.75,139.0
Zag,30384,H3-6,175000.0,1998.0,27.33333,-9.33333
Zagami,30386,Martian (shergottite),18000.0,1962.0,11.73333,7.08333
Zaoyang,30391,H5,14250.0,1984.0,32.3,112.75
Zavid,30396,L6,95000.0,1897.0,44.4,19.11667
Zemaitkiemis,30399,L6,44100.0,1933.0,55.3,25.0
Zhaodong,30404,L4,42000.0,1984.0,45.81667,125.91667
Zhovtnevyi,30407,H6,107000.0,1938.0,47.58333,37.25
Abbott,5,H3-6,21100.0,1951.0,36.3,-104.28333
Acfer 329,336,L4/5,30000.0,2001.0,27.58333,4.1
Acfer 336,343,L3.8,19400.0,2002.0,27.61667,4.06667
Acfer 353,359,Eucrite-cm,11935.0,2001.0,27.48917,3.89
Acfer 379,35338,H4,14764.0,2004.0,27.4114,3.70467
Achilles,369,H5,16000.0,1924.0,39.77667,-100.81333
Acme,371,H5,75000.0,1947.0,33.63333,-104.26667
Acuña,373,"Iron, IIIAB",217700.0,1981.0,29.31667,-100.96667
